Name	Price	Cuisine	Award	City	Country	Price Level
Taian Table	¥	Innovative	3	Shanghai	China Mainland	4
Ultraviolet by Paul Pairet	¥	Innovative	3	Shanghai	China Mainland	4
Enoteca Pinchiorri	€	Italian Contemporary	3	Florence	Italy	4
Le Calandre	€	Creative	3	Rubano	Italy	4
Enrico Bartolini al Mudec	€	Creative	3	Milan	Italy	4
Osteria Francescana	€	Creative	3	Modena	Italy	4
Dal Pescatore	€	Italian Contemporary	3	Runate	Italy	4
Da Vittorio	€	Italian Contemporary	3	Brusaporto	Italy	4
Le Bernardin	$	Seafood	3	New York	USA	4
Chao Shang Chao (Chaoyang)	¥	Chao Zhou	3	Beijing	China Mainland	4
Xin Rong Ji (Xinyuan South Road)	¥	Taizhou	3	Beijing	China Mainland	4
King's Joy	¥	Vegetarian	3	Beijing	China Mainland	3
Restaurant de l'Hôtel de Ville	€	Classic French	3	Crissier	Switzerland	4
Cheval Blanc by Peter Knogl	€	Classic French	3	Basel	Switzerland	4
Le Palais	$	Cantonese	3	Taipei	Taiwan	4
Taïrroir	$	Taiwanese contemporary	3	Taipei	Taiwan	4
Zén	$	European Contemporary	3	Singapore		4
Les Amis	$	French	3	Singapore		4
Odette	$	French Contemporary	3	Singapore		4
noma	€	Creative	3	Copenhagen	Denmark	4
Frantzén	€	Modern Cuisine	3	Stockholm	Sweden	4
Ta Vie	$	Innovative	3	Hong Kong	Hong Kong SAR China	4
Caprice	$	French Contemporary	3	Hong Kong	Hong Kong SAR China	4
Sushi Shikon	$	Sushi	3	Hong Kong	Hong Kong SAR China	4
T'ang Court	$	Cantonese	3	Hong Kong	Hong Kong SAR China	3
Robuchon au Dôme	$	French Contemporary	3	Macau		4
8 1/2 Otto e Mezzo - Bombana	$	Italian	3	Hong Kong	Hong Kong SAR China	4
The Eight	$	Cantonese	3	Macau		4
L'Atelier de Joël Robuchon	$	French Contemporary	3	Hong Kong	Hong Kong SAR China	4
Jade Dragon	$	Cantonese	3	Macau		3
Forum	$	Cantonese	3	Hong Kong	Hong Kong SAR China	4
De Librije	€	Modern Cuisine	3	Zwolle	Netherlands	4
Restaurant Bareiss	€	Classic French	3	Baiersbronn	Germany	4
Waldhotel Sonnora	€	Classic French	3	Dreis	Germany	4
Victor's Fine Dining by christian bau	€	Creative	3	Perl	Germany	4
Sketch (The Lecture Room & Library)	£	Modern French	3	London	United Kingdom	4
L'Enclume	£	Creative British	3	Cartmel	United Kingdom	4
Alain Ducasse at The Dorchester	£	French	3	London	United Kingdom	4
Hélène Darroze at The Connaught	£	Modern Cuisine	3	London	United Kingdom	4
Fat Duck	£	Creative	3	Bray	United Kingdom	4
CORE by Clare Smyth	£	Modern British	3	London	United Kingdom	4
Restaurant Gordon Ramsay	£	French	3	London	United Kingdom	4
Waterside Inn	£	Classic French	3	Bray	United Kingdom	4
Boury	€	Creative French	3	Roeselare	Belgium	4
Zilte	€	Creative	3	Antwerpen	Belgium	4
Hof van Cleve	€	Creative	3	Kruishoutem	Belgium	4
Auberge du Vieux Puits	€	Creative	3	Fontjoncouse	France	4
Restaurant Marcon	€	Creative	3	Saint-Bonnet-le-Froid	France	4
Assiette Champenoise	€	Creative	3	Reims	France	4
Troisgros - Le Bois sans Feuilles	€	Creative	3	Ouches	France	4
Le Clos des Sens	€	Creative	3	Annecy	France	4
Les Prés d'Eugénie - Michel Guérard	€	Classic Cuisine	3	Eugénie-les-Bains	France	4
Le 1947 à Cheval Blanc	€	Creative	3	Courchevel	France	4
Épicure	€	Modern Cuisine	3	Paris	France	4
Arpège	€	Creative	3	Paris	France	4
L'Ambroisie	€	Classic Cuisine	3	Paris	France	4
Maison Lameloise	€	Modern Cuisine	3	Chagny	France	4
Le Cinq	€	Modern Cuisine	3	Paris	France	4
L'Oustau de Baumanière	€	Creative	3	Les Baux-de-Provence	France	4
Pic	€	Creative	3	Valence	France	4
Plénitude - Cheval Blanc Paris	€	Creative	3	Paris	France	4
Pierre Gagnaire	€	Creative	3	Paris	France	4
Flocons de Sel	€	Modern Cuisine	3	Megève	France	4
Alléno Paris au Pavillon Ledoyen	€	Creative	3	Paris	France	4
Le Petit Nice	€	Seafood	3	Marseille	France	4
AM par Alexandre Mazzia	€	Creative	3	Marseille	France	4
Mirazur	€	Creative	3	Menton	France	4
Georges Blanc	€	Classic Cuisine	3	Vonnas	France	4
Lasarte	€	Creative	3	Barcelona	Spain	4
ABaC	€	Creative	3	Barcelona	Spain	4
Cocina Hermanos Torres	€	Creative	3	Barcelona	Spain	4
Atrio	€	Creative	3	Cáceres	Spain	4
Quique Dacosta	€	Creative	3	Dénia	Spain	4
DiverXO	€	Creative	3	Madrid	Spain	4
Martín Berasategui	€	Creative	3	Lasarte - Oria	Spain	4
Azurmendi	€	Creative	3	Larrabetzu	Spain	4
El Celler de Can Roca	€	Creative	3	Girona	Spain	4
Cenador de Amós	€	Modern Cuisine	3	Villaverde de Pontones	Spain	4
Azabu Kadowaki	¥	Japanese	3	Tokyo	Japan	4
Kohaku	¥	Japanese	3	Tokyo	Japan	4
RyuGin	¥	Japanese	3	Tokyo	Japan	4
Kagurazaka Ishikawa	¥	Japanese	3	Tokyo	Japan	4
Sushi Yoshitake	¥	Sushi	3	Tokyo	Japan	4
Sazenka	¥	Chinese	3	Tokyo	Japan	4
Kanda	¥	Japanese	3	Tokyo	Japan	4
