,Name,Price,Cuisine,Award,City,Country,Price Level,City Population,,PERCANTAGE OF AWARDS,,,PERCENTAGE OF PRICE LEVEL,
0,Taian Table,¥,Innovative,3,Shanghai,China Mainland,4,22315474,,3 Stars, 4.20 ,,4, 54.10 
1,Ultraviolet by Paul Pairet,¥,Innovative,3,Shanghai,China Mainland,4,22315474,,2 Stars, 13.71 ,,3, 41.79 
2,Enoteca Pinchiorri,€,Italian Contemporary,3,Florence,Italy,4,40026,,1 Star, 82.04 ,,2, 3.90 
3,Le Calandre,€,Creative,3,Rubano,Italy,4,3434,,TOTAL = 2282,,,1, 0.18 
4,Enrico Bartolini al Mudec,€,Creative,3,Milan,Italy,4,5983,,,,,,
5,Osteria Francescana,€,Creative,3,Modena,Italy,4,184732,,,,,,
6,Dal Pescatore,€,Italian Contemporary,3,Runate,Italy,4,,,,,,,
7,Da Vittorio,€,Italian Contemporary,3,Brusaporto,Italy,4,5182,,,,,,
8,Le Bernardin,$,Seafood,3,New York,USA,4,,,,,,,
9,Chao Shang Chao (Chaoyang),¥,Chao Zhou,3,Beijing,China Mainland,4,18960744,,,,,,
10,Xin Rong Ji (Xinyuan South Road),¥,Taizhou,3,Beijing,China Mainland,4,18960744,,,,,,
11,King's Joy,¥,Vegetarian,3,Beijing,China Mainland,3,18960744,,,,,,
12,Restaurant de l'H√¥tel de Ville,€,Classic French,3,Crissier,Switzerland,4,6612,,,,,,
13,Cheval Blanc by Peter Knogl,€,Classic French,3,Basel,Switzerland,4,164488,,,,,,
14,Le Palais,$,Cantonese,3,Taipei,Taiwan,4,7871900,,,,,,
15,Ta√Ørroir,$,Taiwanese contemporary,3,Taipei,Taiwan,4,7871900,,,,,,
16,Z√©n,$,European Contemporary,3,Singapore,,4,5638700,,,,,,
17,Les Amis,$,French,3,Singapore,,4,5638700,,,,,,
18,Odette,$,French Contemporary,3,Singapore,,4,5638700,,,,,,
19,noma,€,Creative,3,Copenhagen,Denmark,4,1153615,,,,,,
20,Frantz√©n,€,Modern Cuisine,3,Stockholm,Sweden,4,1515017,,,,,,
21,Ta Vie,$,Innovative,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
22,Caprice,$,French Contemporary,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
23,Sushi Shikon,$,Sushi,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
24,T'ang Court,$,Cantonese,3,Hong Kong,Hong Kong SAR China,3,7482500,,,,,,
25,Robuchon au D√¥me,$,French Contemporary,3,Macau,,4,649335,,,,,,
26,8 1/2 Otto e Mezzo - Bombana,$,Italian,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
27,The Eight,$,Cantonese,3,Macau,,4,649335,,,,,,
28,L'Atelier de Jo√´l Robuchon,$,French Contemporary,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
29,Jade Dragon,$,Cantonese,3,Macau,,3,649335,,,,,,
30,Forum,$,Cantonese,3,Hong Kong,Hong Kong SAR China,4,7482500,,,,,,
31,De Librije,€,Modern Cuisine,3,Zwolle,Netherlands,4,1972,,,,,,
32,Restaurant Bareiss,€,Classic French,3,Baiersbronn,Germany,4,16248,,,,,,
33,Waldhotel Sonnora,€,Classic French,3,Dreis,Germany,4,1355,,,,,,
34,Victor's Fine Dining by christian bau,€,Creative,3,Perl,Germany,4,,,,,,,
35,Sketch (The Lecture Room & Library),£,Modern French,3,London,United Kingdom,4,1869,,,,,,
36,L'Enclume,£,Creative British,3,Cartmel,United Kingdom,4,,,,,,,
37,Alain Ducasse at The Dorchester,£,French,3,London,United Kingdom,4,1869,,,,,,
38,H√©l√®ne Darroze at The Connaught,£,Modern Cuisine,3,London,United Kingdom,4,1869,,,,,,
39,Fat Duck,£,Creative,3,Bray,United Kingdom,4,1193,,,,,,
40,CORE by Clare Smyth,£,Modern British,3,London,United Kingdom,4,1869,,,,,,
41,Restaurant Gordon Ramsay,£,French,3,London,United Kingdom,4,1869,,,,,,
42,Waterside Inn,£,Classic French,3,Bray,United Kingdom,4,1193,,,,,,
43,Boury,€,Creative French,3,Roeselare,Belgium,4,56016,,,,,,
44,Zilte,€,Creative,3,Antwerpen,Belgium,4,529247,,,,,,
45,Hof van Cleve,€,Creative,3,Kruishoutem,Belgium,4,8179,,,,,,
46,Auberge du Vieux Puits,€,Creative,3,Fontjoncouse,France,4,,,,,,,
47,Restaurant Marcon,€,Creative,3,Saint-Bonnet-le-Froid,France,4,,,,,,,
48,Assiette Champenoise,€,Creative,3,Reims,France,4,196565,,,,,,
49,Troisgros - Le Bois sans Feuilles,€,Creative,3,Ouches,France,4,1143,,,,,,
50,Le Clos des Sens,€,Creative,3,Annecy,France,4,49232,,,,,,
51,Les Pr√©s d'Eug√©nie - Michel Gu√©rard,€,Classic Cuisine,3,Eug√©nie-les-Bains,France,4,,,,,,,
52,Le 1947 √† Cheval Blanc,€,Creative,3,Courchevel,France,4,1700,,,,,,
53,√âpicure,€,Modern Cuisine,3,Paris,France,4,5073,,,,,,
54,Arp√®ge,€,Creative,3,Paris,France,4,5073,,,,,,
55,L'Ambroisie,€,Classic Cuisine,3,Paris,France,4,5073,,,,,,
56,Maison Lameloise,€,Modern Cuisine,3,Chagny,France,4,5684,,,,,,
57,Le Cinq,€,Modern Cuisine,3,Paris,France,4,5073,,,,,,
58,L'Oustau de Baumani√®re,€,Creative,3,Les Baux-de-Provence,France,4,,,,,,,
59,Pic,€,Creative,3,Valence,France,4,5039,,,,,,
60,Pl√©nitude - Cheval Blanc Paris,€,Creative,3,Paris,France,4,5073,,,,,,
61,Pierre Gagnaire,€,Creative,3,Paris,France,4,5073,,,,,,
62,Flocons de Sel,€,Modern Cuisine,3,Meg√®ve,France,4,5129,,,,,,
63,All√©no Paris au Pavillon Ledoyen,€,Creative,3,Paris,France,4,5073,,,,,,
64,Le Petit Nice,€,Seafood,3,Marseille,France,4,870731,,,,,,
65,AM par Alexandre Mazzia,€,Creative,3,Marseille,France,4,870731,,,,,,
66,Mirazur,€,Creative,3,Menton,France,4,29649,,,,,,
67,Georges Blanc,€,Classic Cuisine,3,Vonnas,France,4,2669,,,,,,
68,Lasarte,€,Creative,3,Barcelona,Spain,4,2255,,,,,,
69,ABaC,€,Creative,3,Barcelona,Spain,4,2255,,,,,,
70,Cocina Hermanos Torres,€,Creative,3,Barcelona,Spain,4,2255,,,,,,
71,Atrio,€,Creative,3,C√°ceres,Spain,4,93131,,,,,,
72,Quique Dacosta,€,Creative,3,D√©nia,Spain,4,,,,,,,
73,DiverXO,€,Creative,3,Madrid,Spain,4,85090,,,,,,
74,Mart√≠n Berasategui,€,Creative,3,Lasarte - Oria,Spain,4,,,,,,,
75,Azurmendi,€,Creative,3,Larrabetzu,Spain,4,,,,,,,
76,El Celler de Can Roca,€,Creative,3,Girona,Spain,4,96188,,,,,,
77,Cenador de Am√≥s,€,Modern Cuisine,3,Villaverde de Pontones,Spain,4,,,,,,,
78,Azabu Kadowaki,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
79,Kohaku,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
80,RyuGin,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
81,Kagurazaka Ishikawa,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
82,Sushi Yoshitake,¥,Sushi,3,Tokyo,Japan,4,8336599,,,,,,
83,Sazenka,¥,Chinese,3,Tokyo,Japan,4,8336599,,,,,,
84,Kanda,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
85,Makimura,¥,Japanese,3,Tokyo,Japan,4,8336599,,,,,,
86,Mosu,_,Innovative,3,Seoul,South Korea,4,10349312,,,,,,
87,Kashiwaya Osaka Senriyama,¥,Japanese,3,Osaka,Japan,4,2753862,,,,,,
88,Isshisoden Nakamura,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
89,Mizai,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
90,Hyotei,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
91,Maeda,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
92,Gion Sasaki,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
93,HAJIME,¥,Innovative,3,Osaka,Japan,4,2753862,,,,,,
94,Taian,¥,Japanese,3,Osaka,Japan,3,2753862,,,,,,
95,Kikunoi Honten,¥,Japanese,3,Kyoto,Japan,4,1463723,,,,,,
96,Ji Pin Court,¥,Cantonese,2,Shanghai,China Mainland,3,22315474,,,,,,
97,The House of Rong,¥,Taizhou,2,Shanghai,China Mainland,4,22315474,,,,,,
98,Da Vittorio,¥,Italian,2,Shanghai,China Mainland,4,22315474,,,,,,
99,Bao Li Xuan,¥,Cantonese,2,Shanghai,China Mainland,4,22315474,,,,,,
100,8 ¬Ω Otto e Mezzo Bombana,¥,Italian,2,Shanghai,China Mainland,4,22315474,,,,,,
101,102 House,¥,Cantonese,2,Shanghai,China Mainland,4,22315474,,,,,,
102,Imperial Treasure Fine Chinese Cuisine (Huangpu),¥,Cantonese,2,Shanghai,China Mainland,3,22315474,,,,,,
103,Canton 8 (Runan Street),¥,Cantonese,2,Shanghai,China Mainland,2,22315474,,,,,,
104,Piccolo Lago,€,Creative,2,Fondotoce,Italy,4,,,,,,,
105,Harry's Piccolo,€,Creative,2,Trieste,Italy,4,204338,,,,,,
106,Torre del Saracino,€,Creative,2,Vico Equense,Italy,4,12820,,,,,,
107,Piazzetta Mil√π,€,Creative,2,Castellammare di Stabia,Italy,4,66164,,,,,,
108,George Restaurant,€,Contemporary,2,Naples,Italy,4,2212,,,,,,
109,San Domenico,€,Classic Cuisine,2,Imola,Italy,4,69953,,,,,,
110,Il Piccolo Principe,€,Creative,2,Viareggio,Italy,4,62169,,,,,,
111,J√¥nt,$,Contemporary,2,Washington,USA,4,3981,,,,,,
112,minibar,$,Contemporary,2,Washington,USA,4,3981,,,,,,
113,Pineapple and Pearls,$,Contemporary,2,Washington,USA,4,3981,,,,,,
114,Saga,$,Contemporary,2,New York,USA,4,,,,,,,
115,The Modern,$,Contemporary,2,New York,USA,4,,,,,,,
116,Daniel,$,French,2,New York,USA,4,,,,,,,
117,Atera,$,Contemporary,2,New York,USA,4,,,,,,,
118,Jingji,¥,Beijing Cuisine,2,Beijing,China Mainland,4,18960744,,,,,,
119,Shanghai Cuisine,¥,Shanghainese,2,Beijing,China Mainland,3,18960744,,,,,,
120,Anne-Sophie Pic,€,Creative,2,Lausanne,Switzerland,4,139111,,,,,,
121,roots,€,Modern Cuisine,2,Basel,Switzerland,4,164488,,,,,,
122,Pavillon,€,Classic French,2,Zurich,Switzerland,4,,,,,,,
123,Skin's - the restaurant,€,Modern Cuisine,2,Lenzburg,Switzerland,4,7392,,,,,,
124,Da Vittorio,€,Italian,2,Saint Moritz,Switzerland,4,,,,,,,
125,IGNIV by Andreas Caminada,€,Creative,2,Bad Ragaz,Switzerland,4,5063,,,,,,
126,La Table du Lausanne Palace,€,Modern French,2,Lausanne,Switzerland,4,139111,,,,,,
127,L'Atelier Robuchon,€,French Contemporary,2,Geneva,Switzerland,4,6051,,,,,,
128,Sushi Masaki Saito,$,Japanese,2,Toronto,Canada,4,2600000,,,,,,
129,Yu Zhi Lan,¥,Sichuan,2,Chengdu,China Mainland,4,13568357,,,,,,
130,Xin Rong Ji,¥,Taizhou,2,Chengdu,China Mainland,4,13568357,,,,,,
131,Molino de Urd√°niz,$,Spanish Contemporary,2,Taipei,Taiwan,4,7871900,,,,,,
132,Mudan,$,Tempura,2,Taipei,Taiwan,4,7871900,,,,,,
133,logy,$,Asian Contemporary,2,Taipei,Taiwan,3,7871900,,,,,,
134,L'Atelier de Jo√´l Robuchon,$,French Contemporary,2,Taipei,Taiwan,4,7871900,,,,,,
135,Libert√©,$,Modern Cuisine,2,Kaohsiung,Taiwan,4,1519711,,,,,,
136,RAW,$,Innovative,2,Taipei,Taiwan,4,7871900,,,,,,
137,Commis,$,Contemporary,2,Oakland,USA,4,419267,,,,,,
138,Providence,$,Seafood,2,Hollywood,USA,4,167664,,,,,,
139,M√©lisse,$,Modern French,2,Santa Monica,USA,4,2284,,,,,,
140,Jiang by Chef Fei,¥,Cantonese,2,Guangzhou,China Mainland,3,16096724,,,,,,
141,Imperial Treasure Fine Chinese Cuisine,¥,Cantonese,2,Guangzhou,China Mainland,3,16096724,,,,,,
142,Taian Table,¥,European Contemporary,2,Guangzhou,China Mainland,4,16096724,,,,,,
143,Waku Ghin,$,Japanese Contemporary,2,Singapore,,4,5638700,,,,,,
144,Cloudstreet,$,Innovative,2,Singapore,,4,5638700,,,,,,
145,Thevar,$,Innovative,2,Singapore,,3,5638700,,,,,,
146,Jaan by Kirk Westaway,$,British Contemporary,2,Singapore,,3,5638700,,,,,,
147,Shoukouwa,$,Sushi,2,Singapore,,4,5638700,,,,,,
148,Saint Pierre,$,French Contemporary,2,Singapore,,4,5638700,,,,,,
149,Henne Kirkeby Kro,€,Classic Cuisine,2,Henne,Denmark,4,,,,,,,
150,a|o|c,€,Modern Cuisine,2,Copenhagen,Denmark,4,1153615,,,,,,
151,Alchemist,€,Innovative,2,Copenhagen,Denmark,4,1153615,,,,,,
152,Koan,€,Creative,2,Copenhagen,Denmark,4,1153615,,,,,,
153,Alo√´,€,Creative,2,Stockholm,Sweden,4,1515017,,,,,,
154,Vollmers,€,Contemporary,2,Malmo,Sweden,4,,,,,,,
155,Palace,€,Modern Cuisine,2,Helsinki,Finland,4,658864,,,,,,
156,KOKS,€,Creative,2,Leynavatn,Denmark,4,,,,,,,
157,Frederiksh√∏j,€,Creative,2,Aarhus,Denmark,4,,,,,,,
158,Tr√®sind Studio,$,Indian,2,Dubai,,4,3478300,,,,,,
159,Il Ristorante-Niko Romito,$,Italian,2,Dubai,,4,3478300,,,,,,
160,STAY by Yannick All√©no,$,French,2,Dubai,,4,3478300,,,,,,
161,akordu,¥,Innovative,2,Nara,Japan,3,0,,,,,,
162,Oryori Hanagaki,¥,Japanese,2,Nara,Japan,3,0,,,,,,
163,Tsukumo,¥,Japanese,2,Nara,Japan,3,0,,,,,,
164,NARA NIKON,¥,Japanese,2,Nara,Japan,3,0,,,,,,
165,R√πn,$,Cantonese,2,Hong Kong,,3,7482500,,,,,,
166,Octavium,$,Italian,2,Hong Kong,,3,7482500,,,,,,
167,Mizumi (Macau),$,Japanese,2,Macau,,4,649335,,,,,,
168,Wing Lei,$,Cantonese,2,Macau,,3,649335,,,,,,
169,Alain Ducasse at Morpheus,$,French Contemporary,2,Macau,,4,649335,,,,,,
170,Lung King Heen,$,Cantonese,2,Hong Kong,,3,7482500,,,,,,
171,Bo Innovation,$,Innovative,2,Hong Kong,,4,7482500,,,,,,
172,Sichuan Moon,$,Sichuan,2,Macau,,4,649335,,,,,,
173,Sun Tung Lok,$,Cantonese,2,Hong Kong,,2,7482500,,,,,,
174,L'Envol,$,French Contemporary,2,Hong Kong,,4,7482500,,,,,,
175,Tin Lung Heen,$,Cantonese,2,Hong Kong,,3,7482500,,,,,,
176,Tate,$,Innovative,2,Hong Kong,,4,7482500,,,,,,
177,Amber,$,French Contemporary,2,Hong Kong,,4,7482500,,,,,,
178,Lai Ching Heen,$,Cantonese,2,Hong Kong,,3,7482500,,,,,,
179,Arbor,$,Innovative,2,Hong Kong,,3,7482500,,,,,,
180,Ying Jee Club,$,Cantonese,2,Hong Kong,,2,7482500,,,,,,
181,Flore,€,Contemporary,2,Amsterdam,Netherlands,4,741636,,,,,,
182,Julemont,€,Modern French,2,Wittem,Netherlands,4,,,,,,,
183,De Bokkedoorns,€,Modern Cuisine,2,Overveen,Netherlands,4,3685,,,,,,
184,De Lindenhof,€,Creative,2,Giethoorn,Netherlands,4,2130,,,,,,
185,Tribeca,€,Creative,2,Heeze,Netherlands,4,9945,,,,,,
186,De Lindehof,€,Creative,2,Nuenen,Netherlands,4,23223,,,,,,
187,De Treeswijkhoeve,€,Creative,2,Waalre,Netherlands,4,6445,,,,,,
188,Fred,€,Creative French,2,Rotterdam,Netherlands,4,598199,,,,,,
189,Aan de Poel,€,Creative,2,Amstelveen,Netherlands,4,79639,,,,,,
190,Ciel Bleu,€,Creative,2,Amsterdam,Netherlands,4,741636,,,,,,
191,Restaurant 212,€,Creative,2,Amsterdam,Netherlands,4,741636,,,,,,
192,Spectrum,€,Creative,2,Amsterdam,Netherlands,4,741636,,,,,,
193,Parkheuvel,€,Modern Cuisine,2,Rotterdam,Netherlands,4,598199,,,,,,
194,Brut172,€,Creative,2,Reijmerstok,Netherlands,4,,,,,,,
195,FG - Fran√ßois Geurds,€,Creative,2,Rotterdam,Netherlands,4,598199,,,,,,
196,AUGUST,€,Creative,2,Augsburg,Germany,4,259196,,,,,,
197,Hirschen,€,Classic French,2,Sulzburg,Germany,4,2717,,,,,,
198,Atelier,€,Creative French,2,Munich,Germany,4,1260391,,,,,,
199,G√§steHaus Klaus Erfort,€,Classic French,2,Saarbr√ºcken,Germany,4,179349,,,,,,
200,Lakeside,€,Modern Cuisine,2,Hamburg,Germany,4,1845229,,,,,,
201,sein,€,Modern Cuisine,2,Karlsruhe,Germany,4,283799,,,,,,
202,Lorenz Adlon Esszimmer,€,Creative,2,Berlin,Germany,4,3426354,,,,,,
203,Le Cerf,€,Classic French,2,Zweiflingen,Germany,4,1716,,,,,,
204,Horv√°th,€,Creative,2,Berlin,Germany,4,3426354,,,,,,
